Id,DateVac,State,Lga,Ward,OPVvialsRced,OPVVialsused,DPTvials recd,DPTvials Used,HepBvials recd,HepBvials Used,Measlesvials Recd,MeaslesvialsUsed,MESDiluentsRecd,MESDiluentsUsed,Yellowvials recd,Yellowvials Used,YFDiluentsRecd,YFDiluentsUsed,TTvials recd,TTvials Used,ADsyringeRecd,ADsyringeUsed,ReconsyringeRecd,ReconsyringeUsed,AEFI,uniqvac,IsmainRnd,IPVVials Rced,IPVVials Used,PCVvials recd,PCVvials Used
4951,1-Feb-17,Bauchi,Darazo,Tauya East,259,257,4,4,0,0,3,3,3,3,3,3,3,3,0,0,140,130,6,6,0,BauchiDarazoTauya East01/02/2017-1,TRUE,,,,
4952,1-Feb-17,Bauchi,Dass,Polchi,226,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassPolchi01/02/2017-1,TRUE,,,,
4953,1-Feb-17,Bauchi,Darazo,Tauya West,211,210,5,5,0,0,4,4,4,4,4,4,4,4,0,0,160,144,8,8,0,BauchiDarazoTauya west01/02/2017-1,TRUE,,,,
4954,1-Feb-17,Bauchi,Dass,Durr,183,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassDurr01/02/2017-1,TRUE,,,,
4955,1-Feb-17,Bauchi,Dass,Dott,190,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassDott01/02/2017-1,TRUE,,,,
4956,1-Feb-17,Bauchi,Dass,Bununu West,154,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassBununu West01/02/2017-1,TRUE,,,,
4957,1-Feb-17,Bauchi,Dass,Bununu South,175,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassBununu South01/02/2017-1,TRUE,,,,
4958,1-Feb-17,Bauchi,Dass,Bununu East,180,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassBununu East01/02/2017-1,TRUE,,,,
4959,1-Feb-17,Bauchi,Dass,Bununu Central,323,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassBununu Central01/02/2017-1,TRUE,,,,
4960,1-Feb-17,Bauchi,Dass,Bundot,265,263,40,10,40,10,40,0,40,0,40,0,40,0,60,30,200,50,2,0,0,BauchiDassBundot01/02/2017-1,TRUE,,,,
