Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
71218371,Niger,Shiroro,Manta,1-Apr-17,NigerShiroroManta01/04/2017-1,81,0,10,0,61,1909,4128,12,3582,0,0,98,420,518,0,0,0,0,0,0,15,22,15,22,0,0,0,0,4183,12,13,20,0,0,0,0,0,0,60,0,60,0,27,41,0,0,0,0,0,,,,0,0,TRUE
242462567,Bauchi,Alkaleri,Mansur,1-Apr-17,BauchiAlkaleriMansur01/04/2017-1,88,0,22,13,189,6191,8471,41,7951,0,6,24,247,277,5,10,5,10,0,0,56,80,56,80,0,0,0,0,8520,33,24,24,0,0,0,63,0,0,46,15,46,15,0,0,0,0,2000,0,0,Sweets,Detergent,,0,0,TRUE
61140598,Katsina,Ingawa,Manomawa,1-Apr-17,KatsinaIngawaManomawa01/04/2017-1,44,0,11,0,0,1894,1943,34,1820,0,0,0,470,470,0,0,0,0,0,0,82,106,78,102,4,4,0,0,2392,36,25,22,0,0,0,1,0,0,36,0,36,0,0,0,0,0,1911,0,0,Sweets,,,0,0,TRUE
57910631,Taraba,Yorro,Mannang,1-Apr-17,TarabaYorroMannang01/04/2017-1,20,0,4,7,175,2594,4392,0,3563,0,0,13,639,652,0,0,0,0,0,0,21,24,21,24,0,0,0,0,4421,16,12,12,0,0,0,12,0,0,36,0,36,0,21,14,0,0,514,0,0,Sweets,,,0,0,TRUE
336643848,Adamawa,Maiha,Manjekin,1-Apr-17,AdamawaMaihaManjekin01/04/2017-1,48,0,7,1,21,1467,2626,6,2417,0,0,29,187,216,0,0,0,0,0,0,38,58,38,58,0,0,0,0,2713,6,6,9,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,,,,0,0,TRUE
371741524,Niger,Mashegu,Manigi,1-Apr-17,NigerMasheguManigi01/04/2017-1,190,0,43,19,182,17436,30663,338,30634,410,0,171,2846,3427,0,0,0,0,0,0,321,435,320,432,1,3,0,0,34694,36,21,35,0,0,0,23,0,0,109,0,109,0,19,17,0,0,0,0,0,,,,0,0,TRUE
227154886,Katsina,Mani,Mani,1-Apr-17,KatsinaManiMani01/04/2017-1,44,0,11,0,555,4796,6565,60,4478,0,0,0,4536,4536,28,46,26,43,2,3,226,327,220,318,6,9,0,0,9930,24,17,27,0,0,0,0,0,0,40,0,40,0,23,22,0,0,4140,4960,1080,Sweets,Satchet milk,Whistle,0,0,TRUE
50473451,Plateau,Bokkos,Manguna,1-Apr-17,PlateauBokkosManguna01/04/2017-1,41,0,10,21,74,2672,3194,0,3194,0,0,63,157,220,0,0,0,0,0,0,8,8,8,8,0,0,0,0,3517,15,15,16,0,0,0,18,0,0,30,0,30,0,35,22,0,0,0,0,0,,,,0,0,TRUE
307326287,Plateau,Mangu,Mangun,1-Apr-17,PlateauManguMangun01/04/2017-1,53,0,13,4,178,3968,2969,11,2922,0,320,336,493,1149,0,0,0,0,0,0,38,47,38,47,0,0,0,0,4300,30,24,15,0,0,0,0,0,0,34,0,34,0,5,3,0,0,0,0,0,,,,0,0,TRUE
432560351,Plateau,Mangu,Mangu 11,1-Apr-17,PlateauManguMangu 1101/04/2017-1,64,0,16,0,51,8587,4564,4,4479,20,147,510,1297,1974,0,0,0,0,0,0,66,85,66,85,0,0,0,0,6589,18,12,10,0,0,0,0,0,0,25,0,15,0,16,23,0,0,0,0,0,,,,0,0,TRUE
238386114,Plateau,Mangu,Mangu 1,1-Apr-17,PlateauManguMangu 101/04/2017-1,79,0,19,1,95,6542,6563,6,6464,0,74,318,1322,1714,0,0,0,0,0,0,82,99,82,99,0,0,0,0,8373,22,18,5,0,0,0,0,0,0,21,0,21,0,24,4,0,0,0,0,0,,,,0,0,TRUE
71154000,Plateau,Bokkos,Mangor,1-Apr-17,PlateauBokkosMangor01/04/2017-1,28,0,7,3,25,1761,1802,9,1628,0,0,86,159,245,0,0,0,0,0,0,44,62,36,54,8,8,0,0,1955,4,9,1,0,0,0,5,0,0,5,0,5,0,1,1,0,0,0,0,0,,,,0,0,TRUE
151036948,Nasarawa,Wamba,Mangar,1-Apr-17,NasarawaWambaMANGAR01/04/2017-1,26,0,5,1,63,1381,2605,10,1640,0,0,0,840,840,0,0,0,0,0,0,47,82,42,71,5,11,0,0,2615,10,10,2,0,0,0,7,0,0,14,0,14,0,24,56,0,0,0,0,0,,,,0,0,TRUE
338694266,Kebbi,Zuru,Manga Ushe,1-Apr-17,KebbiZuruManga Ushe01/04/2017-1,156,0,23,0,0,5742,9069,23,8879,52,0,0,621,673,6,14,2,5,4,9,116,137,116,137,0,0,0,0,9694,31,11,22,0,0,0,18,0,0,18,0,18,0,35,0,0,0,0,0,0,,,,0,0,TRUE
405757787,Kano,Gwale,Mandawari,1-Apr-17,KanoGwaleMandawari01/04/2017-1,24,0,6,0,645,2473,2662,9,1863,143,0,0,329,472,1,2,0,0,1,2,29,39,27,36,2,3,0,654,3670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7062,284,8006,Sweets,Soap,Others,0,0,TRUE
